Date,Open,High,Low,Close,Adj Close,Volume
12/3/2018,19590,19675,19525,19622,19622,465360800
12/4/2018,19590,19623,19353,19353,19353,327064500
12/5/2018,19155,19395,19108,19329,19329,344432800
12/6/2018,19136,19138,18583,18644,18644,529533000
12/7/2018,18787,18961,18742,18742,18742,352771800
12/10/2018,18585,18709,18399,18410,18410,351547100
12/11/2018,18553,18768,18422,18591,18591,383944400
12/12/2018,18667,19021,18627,18946,18946,441794700
12/13/2018,19094,19210,18956,19049,19049,439975500
12/14/2018,18875,18968,18734,18911,18911,311941700
12/17/2018,18901,18914,18655,18693,18693,320391400
12/18/2018,18587,18787,18555,18645,18645,398116100
12/19/2018,18814,19021,18808,18942,18942,463962100
12/20/2018,18679,18759,18577,18577,18577,541967900
12/21/2018,18438,18484,18280,18397,18397,702608200
12/27/2018,18338,18358,17914,18065,18065,444607500
12/28/2018,18226,18385,18169,18324,18324,342714300
1/2/2019,18192,18410,17959,18331,18331,343914600
1/3/2019,18212,18425,18153,18218,18218,419430000
1/4/2019,18376,18832,18373,18832,18832,414845500
1/7/2019,18917,18968,18800,18953,18953,327490700
1/8/2019,18978,19193,18922,19000,19000,399111000
1/9/2019,19152,19297,19125,19179,19179,409097800
1/10/2019,19101,19301,19038,19301,19301,354622400
1/11/2019,19373,19386,19187,19290,19290,357851400
1/14/2019,19163,19235,19016,19171,19171,342051900
1/15/2019,19316,19379,19028,19165,19165,464042700
1/16/2019,19253,19478,19241,19478,19478,428622100
1/17/2019,19357,19512,19314,19470,19470,342927200
1/18/2019,19637,19723,19543,19708,19708,763361200
1/21/2019,19606,19639,19530,19639,19639,376648900
1/22/2019,19523,19584,19413,19437,19437,644478500
1/23/2019,19351,19555,19277,19400,19400,474470800
1/24/2019,19417,19663,19377,19564,19564,511265400
1/25/2019,19672,19825,19652,19811,19811,413862100
1/28/2019,19735,19776,19569,19608,19608,366757300
1/29/2019,19594,19771,19560,19702,19702,379532600
1/30/2019,19729,19772,19670,19772,19772,364751200
1/31/2019,19859,19905,19542,19731,19731,858335000
2/1/2019,19752,19840,19356,19577,19577,559619300
2/4/2019,19565,19660,19494,19606,19606,420694200
2/5/2019,19651,19848,19575,19833,19833,500293000
2/6/2019,19764,20010,19753,19996,19996,440012600
2/7/2019,19941,20002,19478,19478,19478,600364900
2/8/2019,19462,19593,19268,19352,19352,468512800
2/11/2019,19435,19686,19425,19587,19587,427018100
2/12/2019,19743,19861,19674,19805,19805,390650100
2/13/2019,19878,20048,19844,19990,19990,399263600
2/14/2019,20077,20091,19813,19835,19835,447041300
2/15/2019,19800,20271,19789,20212,20212,715474000
2/18/2019,20232,20348,20226,20330,20330,439081800
2/19/2019,20300,20361,20125,20228,20228,409234000
2/20/2019,20271,20311,20159,20304,20304,423094100
2/21/2019,20310,20346,20157,20210,20210,483809200
2/22/2019,20195,20293,20195,20263,20263,433670000
2/25/2019,20428,20488,20403,20437,20437,473937300
2/26/2019,20374,20507,20337,20460,20460,425903600
2/27/2019,20409,20561,20398,20499,20499,513160300
2/28/2019,20424,20683,20423,20659,20659,551080700
3/1/2019,20798,20836,20695,20695,20695,427725200
3/4/2019,20820,20857,20633,20718,20718,342298100
3/5/2019,20720,20827,20657,20716,20716,433780900
3/6/2019,20734,20906,20678,20852,20852,531969000
3/7/2019,20825,21010,20598,20698,20698,707971100
3/8/2019,20564,20674,20386,20484,20484,490944700
3/11/2019,20588,20656,20472,20638,20638,369862800
3/12/2019,20746,20746,20528,20631,20631,500906000
3/13/2019,20598,20758,20592,20749,20749,442591400
3/14/2019,20767,20971,20764,20877,20877,488084800
