Date,Open Price,Close Price,High Price,Low Price,Volume
07-Jun-2019,7259.85,7331.94,7347.41,7258.16,601992256
10-Jun-2019,7331.94,7375.54,7380.14,7331.94,455610944
11-Jun-2019,7375.54,7398.45,7420.73,7375.54,674762432
12-Jun-2019,7398.45,7367.62,7398.45,7329.26,793478976
13-Jun-2019,7367.62,7368.57,7398.61,7350.98,621178432
14-Jun-2019,7368.57,7345.78,7368.80,7316.44,617808896
17-Jun-2019,7345.78,7357.31,7370.70,7324.54,532628160
18-Jun-2019,7357.31,7443.04,7469.19,7345.55,731237824
19-Jun-2019,7443.04,7403.54,7454.93,7399.17,746419328
20-Jun-2019,7403.54,7424.44,7460.83,7403.54,659066048
21-Jun-2019,7424.44,7407.50,7456.79,7382.94,1447975168
24-Jun-2019,7407.50,7416.69,7435.54,7399.56,607083392
25-Jun-2019,7416.69,7422.43,7429.72,7373.22,609219584
26-Jun-2019,7422.43,7416.39,7435.90,7405.54,554045504
27-Jun-2019,7416.39,7402.33,7439.43,7375.51,656716160
28-Jun-2019,7402.33,7425.63,7436.18,7398.92,725826624
01-Jul-2019,7425.63,7497.50,7530.24,7425.63,643415808
02-Jul-2019,7497.50,7559.19,7565.27,7497.50,563329792
03-Jul-2019,7559.19,7609.32,7621.02,7558.47,669224704
04-Jul-2019,7609.32,7603.58,7622.58,7601.33,463756096
05-Jul-2019,7603.58,7553.14,7603.61,7541.86,530709824
08-Jul-2019,7553.14,7549.27,7571.34,7538.67,498260352
09-Jul-2019,7549.27,7536.47,7553.30,7517.94,527572864
10-Jul-2019,7536.47,7530.69,7559.12,7515.61,540840192
11-Jul-2019,7530.69,7509.82,7558.34,7501.66,600935552
12-Jul-2019,7509.82,7505.97,7537.10,7493.80,496009728
15-Jul-2019,7505.97,7531.72,7548.33,7487.44,483821376
16-Jul-2019,7531.72,7577.20,7590.07,7524.52,591311360
17-Jul-2019,7577.20,7535.46,7577.20,7519.22,552667264
18-Jul-2019,7535.46,7493.09,7535.46,7482.60,512101120
19-Jul-2019,7493.09,7508.70,7546.65,7475.49,559749440
22-Jul-2019,7508.70,7514.93,7549.71,7491.79,523526752
23-Jul-2019,7514.93,7556.86,7598.60,7514.93,600126400
24-Jul-2019,7556.86,7501.46,7558.01,7479.07,628777024
25-Jul-2019,7501.46,7489.05,7542.64,7462.73,637691328
26-Jul-2019,7489.05,7549.06,7553.55,7486.74,770225792
29-Jul-2019,7549.06,7686.61,7711.34,7548.86,762831232
30-Jul-2019,7686.61,7646.77,7727.49,7643.65,822434752
31-Jul-2019,7646.77,7586.78,7648.20,7576.12,1079775360
01-Aug-2019,7586.78,7584.87,7609.98,7535.90,822491456
02-Aug-2019,7584.87,7407.06,7585.24,7397.91,1043849664
05-Aug-2019,7407.06,7223.85,7407.06,7200.54,1269942016
06-Aug-2019,7223.85,7171.69,7241.57,7166.98,744772160
