Date,BIT_price,ETH_price
2020-06-19,9279.7607651662,228.8903067734
2020-06-20,9353.0781961865,228.74515988169998
2020-06-21,9289.104491444,227.6154756679
2020-06-22,9680.947127895699,243.2281939759
2020-06-23,9609.6802455253,242.9270899437
2020-06-24,9311.1363183171,235.1756535949
2020-06-25,9252.6333717662,232.5691463771
2020-06-26,9171.7320857653,229.9450697712
2020-06-27,9022.1537680028,221.40790237060003
2020-06-28,9101.8500573564,224.18482954619998
2020-06-29,9188.0613754617,228.33334202310002
2020-06-30,9148.4448585576,225.94679508439998
2020-07-01,9236.3167704303,230.70488749810002
2020-07-02,9097.7973663897,226.7229790237
2020-07-03,9094.3245610188,226.3593386336
2020-07-04,9124.653534398001,228.8071990379
2020-07-05,9055.4644825162,227.0958437535
2020-07-06,9278.8056370407,238.92970102389998
2020-07-07,9244.4158145353,238.4339891225
2020-07-08,9471.7599734203,248.28187933799998
2020-07-09,9236.1432537083,241.7872199263
2020-07-10,9243.175259150401,240.1467526502
2020-07-11,9229.85975494,238.9943354723
2020-07-12,9286.737042085,240.22366586
2020-07-13,9238.9937548587,239.32731616580003
2020-07-14,9260.4709801845,240.8414253109
2020-07-15,9211.0264328947,238.42544907919998
2020-07-16,9133.7778303426,233.0853182123
2020-07-17,9160.4105914881,232.8975949922
2020-07-18,9176.6863901004,235.7401242173
2020-07-19,9190.2715341962,237.7425541334
2020-07-20,9172.588332571899,236.0678442243
2020-07-21,9395.064445882901,245.21526747020002
2020-07-22,9530.7908853474,264.06828446779997
2020-07-23,9617.3778613786,275.8085217294
2020-07-24,9568.9747259614,282.0835888641
2020-07-25,9708.9491400965,305.69811962169996
2020-07-26,9938.9512228609,312.1649089443
2020-07-27,11187.779726961699,329.6317211075
2020-07-28,10939.6701415471,317.1500090147
2020-07-29,11284.4589868467,322.5821788488
2020-07-30,11118.918412433999,336.2069898243
2020-07-31,11373.3172566418,346.02771833379995
2020-08-01,11766.7482970949,385.39714422779997
2020-08-02,11139.0983803526,376.73040775650003
2020-08-03,11261.8063317402,389.0088526187
2020-08-04,11228.026324016499,391.4719188271
2020-08-05,11653.4075855619,398.78231555580004
2020-08-06,11796.8173649898,395.0946703368
2020-08-07,11639.9354101265,382.7311751829
2020-08-08,11744.9120755023,390.80882624199995
2020-08-09,11673.1232375366,388.3353162731
2020-08-10,11832.227308129299,395.3996937457
2020-08-11,11340.582340643701,375.7376315945
2020-08-12,11549.5463143706,385.6144268142
2020-08-13,11752.1686562261,426.5197717722
2020-08-14,11783.2834112599,439.4651311644
2020-08-15,11895.6269498904,432.5808730567
2020-08-16,11896.9471701861,432.99482228449995
2020-08-17,12399.1118846619,439.1354267206
2020-08-18,12071.738909085,426.65807757019996
2020-08-19,11749.829508758401,406.77737312830004
2020-08-20,11833.897348696599,414.892313138
2020-08-21,11583.1389426341,392.91937092660004
2020-08-22,11674.6243539052,393.78870174860003
2020-08-23,11666.410122236599,392.20017821690004
2020-08-24,11744.012696649499,406.00463856730005
2020-08-25,11378.7260298071,383.7475333924
2020-08-26,11458.8225964867,386.442205636
2020-08-27,11302.1209644988,381.5294806967
2020-08-28,11482.2256865058,391.9147663738
2020-08-29,11515.0444306934,402.90311604
2020-08-30,11657.003934228798,423.0770923093
2020-08-31,11678.3732554192,435.2801714861
2020-09-01,11964.2086724627,480.5552222401
2020-09-02,11427.7026049712,441.87929729440003
2020-09-03,10712.9206460713,399.5571540928
2020-09-04,10563.896938616,391.8715284748
2020-09-05,10042.8548543675,329.0848011726
2020-09-06,10207.605002960301,349.46055318839996
2020-09-07,10381.7761069335,354.3037632168
2020-09-08,10043.1964412914,334.025416843
2020-09-09,10268.460915747,354.51332932300005
2020-09-10,10341.0159838502,367.12631413959997
2020-09-11,10380.5395972283,374.28759586760003
