,Country,Date,Gold Price per tr oz
314,Canada,2019-11-11,1927.7
315,Canada,2019-11-12,1921.1
316,Canada,2019-11-13,1937.5
317,Canada,2019-11-14,1944.0
318,Canada,2019-11-15,1939.5
319,Canada,2019-11-16,1939.5
320,Canada,2019-11-17,1939.5
321,Canada,2019-11-18,1939.4
322,Canada,2019-11-19,1942.5
323,Canada,2019-11-20,1956.8
324,Canada,2019-11-21,1948.0
325,Canada,2019-11-22,1946.0
326,Canada,2019-11-23,1946.0
327,Canada,2019-11-24,1946.0
328,Canada,2019-11-25,1941.6
329,Canada,2019-11-26,1933.2
330,Canada,2019-11-27,1932.0
331,Canada,2019-11-28,1933.0
332,Canada,2019-11-29,1939.4
333,Canada,2019-11-30,1939.4
334,Canada,2019-12-01,1939.4
335,Canada,2019-12-02,1944.0
336,Canada,2019-12-03,1964.1
337,Canada,2019-12-04,1951.9
338,Canada,2019-12-05,1946.0
339,Canada,2019-12-06,1936.4
340,Canada,2019-12-07,1936.4
341,Canada,2019-12-08,1936.4
342,Canada,2019-12-09,1933.5
343,Canada,2019-12-10,1938.6
344,Canada,2019-12-11,1938.6
345,Canada,2019-12-12,1936.3
346,Canada,2019-12-13,1935.6
347,Canada,2019-12-14,1935.6
348,Canada,2019-12-15,1935.6
349,Canada,2019-12-16,1943.7
350,Canada,2019-12-17,1941.6
351,Canada,2019-12-18,1933.3
352,Canada,2019-12-19,1938.8
353,Canada,2019-12-20,1947.6
354,Canada,2019-12-21,1947.6
355,Canada,2019-12-22,1947.6
356,Canada,2019-12-23,1952.4
357,Canada,2019-12-24,1949.9
358,Canada,2019-12-25,1949.9
359,Canada,2019-12-26,1944.5
360,Canada,2019-12-27,1978.0
361,Canada,2019-12-28,1978.0
362,Canada,2019-12-29,1978.0
363,Canada,2019-12-30,1977.8
364,Canada,2019-12-31,1964.3
365,Canada,2020-01-01,1964.3
366,Canada,2020-01-02,1982.3
367,Canada,2020-01-03,2010.5
368,Canada,2020-01-04,2010.5
369,Canada,2020-01-05,2010.5
370,Canada,2020-01-06,2040.9
371,Canada,2020-01-07,2040.9
372,Canada,2020-01-08,2049.3
373,Canada,2020-01-09,2030.9
374,Canada,2020-01-10,2027.7
375,Canada,2020-01-11,2027.7
376,Canada,2020-01-12,2027.7
377,Canada,2020-01-13,2023.0
378,Canada,2020-01-14,2018.8
379,Canada,2020-01-15,2021.1
380,Canada,2020-01-16,2027.5
381,Canada,2020-01-17,2034.1
382,Canada,2020-01-18,2034.1
383,Canada,2020-01-19,2034.1
384,Canada,2020-01-20,2037.2
385,Canada,2020-01-21,2026.8
386,Canada,2020-01-22,2042.5
387,Canada,2020-01-23,2054.6
388,Canada,2020-01-24,2055.4
389,Canada,2020-01-25,2055.4
390,Canada,2020-01-26,2055.4
391,Canada,2020-01-27,2082.7
392,Canada,2020-01-28,2074.9
393,Canada,2020-01-29,2077.8
394,Canada,2020-01-30,2087.0
395,Canada,2020-01-31,2095.2
396,Canada,2020-02-01,2095.2
397,Canada,2020-02-02,2095.2
398,Canada,2020-02-03,2088.8
399,Canada,2020-02-04,2069.3
400,Canada,2020-02-05,2064.9
401,Canada,2020-02-06,2078.6
402,Canada,2020-02-07,2092.3
403,Canada,2020-02-08,2092.3
404,Canada,2020-02-09,2092.3
