Country,Date,total_cases,total_deaths,Gold Price per tr oz,Silver Price per tr oz,Exchange to USD,BIT_price,ETH_price,Stock_Price,Stock Index,ad_Gold_Price,ad_Silver_Price
Italy,2019-01-11,0.0,0.0,1123.0,13.6,1.1479,3606.1648903844,123.5910350506,19290.0,FTSE MIB,978.3082150013068,11.847721926997126
Japan,2019-01-11,0.0,0.0,139735.1,1689.89,108.34,3606.1648903844,123.5910350506,20359.699219,Nikkei,1289.7830902713679,15.598024736939266
China,2019-01-11,0.0,0.0,8698.1,105.46,6.7596,3606.1648903844,123.5910350506,2553.831055,SSE,1286.777324102018,15.601514882537428
India,2019-01-11,0.0,0.0,90842.0,1095.57,70.38,3606.1648903844,123.5910350506,10794.950195,NSE,1290.7360045467462,15.566496163682865
United Kingdom,2019-01-11,0.0,0.0,1005.2,12.1408,1.2836,3606.1648903844,123.5910350506,6918.18,FTSE 100,783.1100031162356,9.45839825490807
Brazil,2019-01-12,0.0,0.0,4781.31,57.9,3.7073,3611.5282378524,123.8033581291,93658.0,BOVESPA,1289.7013999406577,15.617835082135246
United States,2019-01-12,0.0,0.0,1289.0,15.601,1.0,3611.5282378524,123.8033581291,6971.47998,NASDAQ,1289.0,15.601
Germany,2019-01-12,0.0,0.0,1123.0,13.6,1.1479,3611.5282378524,123.8033581291,10887.459961,DAX,978.3082150013068,11.847721926997126
France,2019-01-12,0.0,0.0,1123.0,13.6,1.1479,3611.5282378524,123.8033581291,4781.339844,CAC 40,978.3082150013068,11.847721926997126
Canada,2019-01-12,0.0,0.0,1708.6,20.7,1.3256,3611.5282378524,123.8033581291,14939.200195,S&P/TSX,1288.9257694628848,15.615570307785156
Italy,2019-01-12,0.0,0.0,1123.0,13.6,1.1479,3611.5282378524,123.8033581291,19290.0,FTSE MIB,978.3082150013068,11.847721926997126
Japan,2019-01-12,0.0,0.0,139735.1,1689.89,108.34,3611.5282378524,123.8033581291,20359.699219,Nikkei,1289.7830902713679,15.598024736939266
China,2019-01-12,0.0,0.0,8698.1,105.46,6.7596,3611.5282378524,123.8033581291,2553.831055,SSE,1286.777324102018,15.601514882537428
India,2019-01-12,0.0,0.0,90842.0,1095.57,70.38,3611.5282378524,123.8033581291,10794.950195,NSE,1290.7360045467462,15.566496163682865
United Kingdom,2019-01-12,0.0,0.0,1005.2,12.1408,1.2836,3611.5282378524,123.8033581291,6918.18,FTSE 100,783.1100031162356,9.45839825490807
Brazil,2019-01-13,0.0,0.0,4781.31,57.9,3.7073,3497.6693915005,114.944223904,93658.0,BOVESPA,1289.7013999406577,15.617835082135246
United States,2019-01-13,0.0,0.0,1289.0,15.601,1.0,3497.6693915005,114.944223904,6971.47998,NASDAQ,1289.0,15.601
Germany,2019-01-13,0.0,0.0,1123.0,13.6,1.1479,3497.6693915005,114.944223904,10887.459961,DAX,978.3082150013068,11.847721926997126
France,2019-01-13,0.0,0.0,1123.0,13.6,1.1479,3497.6693915005,114.944223904,4781.339844,CAC 40,978.3082150013068,11.847721926997126
Canada,2019-01-13,0.0,0.0,1708.6,20.7,1.3256,3497.6693915005,114.944223904,14939.200195,S&P/TSX,1288.9257694628848,15.615570307785156
Italy,2019-01-13,0.0,0.0,1123.0,13.6,1.1479,3497.6693915005,114.944223904,19290.0,FTSE MIB,978.3082150013068,11.847721926997126
Japan,2019-01-13,0.0,0.0,139735.1,1689.89,108.34,3497.6693915005,114.944223904,20359.699219,Nikkei,1289.7830902713679,15.598024736939266
China,2019-01-13,0.0,0.0,8698.1,105.46,6.7596,3497.6693915005,114.944223904,2553.831055,SSE,1286.777324102018,15.601514882537428
India,2019-01-13,0.0,0.0,90842.0,1095.57,70.38,3497.6693915005,114.944223904,10794.950195,NSE,1290.7360045467462,15.566496163682865
United Kingdom,2019-01-13,0.0,0.0,1005.2,12.1408,1.2836,3497.6693915005,114.944223904,6918.18,FTSE 100,783.1100031162356,9.45839825490807
Brazil,2019-01-14,0.0,0.0,4794.61,57.88,3.7073,3654.3470673604998,128.07999922870002,94474.0,BOVESPA,1293.2889164621151,15.612440320448846
United States,2019-01-14,0.0,0.0,1292.8,15.653,1.0,3654.3470673604998,128.07999922870002,6905.919922,NASDAQ,1292.8,15.653
Germany,2019-01-14,0.0,0.0,1127.3,13.64,1.1479,3654.3470673604998,128.07999922870002,10855.910156,DAX,982.0541859046956,11.882568167958883
France,2019-01-14,0.0,0.0,1127.3,13.64,1.1479,3654.3470673604998,128.07999922870002,4762.75,CAC 40,982.0541859046956,11.882568167958883
Canada,2019-01-14,0.0,0.0,1714.8,20.8,1.3256,3654.3470673604998,128.07999922870002,14975.5,S&P/TSX,1293.6028968014484,15.691007845503925
Italy,2019-01-14,0.0,0.0,1127.3,13.64,1.1479,3654.3470673604998,128.07999922870002,19171.0,FTSE MIB,982.0541859046956,11.882568167958883
Japan,2019-01-14,0.0,0.0,140030.7,1689.76,108.34,3654.3470673604998,128.07999922870002,20359.699219,Nikkei,1292.511537751523,15.596824810780875
China,2019-01-14,0.0,0.0,8736.4,105.93,6.7596,3654.3470673604998,128.07999922870002,2535.764893,SSE,1292.4433398425942,15.671045624001422
India,2019-01-14,0.0,0.0,91546.1,1105.63,70.38,3654.3470673604998,128.07999922870002,10737.599609,NSE,1300.7402671213415,15.709434498437059
United Kingdom,2019-01-14,0.0,0.0,1001.2,12.1691,1.2836,3654.3470673604998,128.07999922870002,6855.02,FTSE 100,779.9937675288252,9.480445621688999
Brazil,2019-01-15,0.0,0.0,4776.94,57.92,3.7162,3568.7512587365995,118.5098661616,94056.0,BOVESPA,1285.4367364512134,15.585813465367849
United States,2019-01-15,0.0,0.0,1294.4,15.58,1.0,3568.7512587365995,118.5098661616,7023.830078,NASDAQ,1294.4,15.58
Germany,2019-01-15,0.0,0.0,1132.2,13.65,1.1392,3568.7512587365995,118.5098661616,10891.790039,DAX,993.8553370786517,11.982092696629215
France,2019-01-15,0.0,0.0,1132.2,13.65,1.1392,3568.7512587365995,118.5098661616,4786.169922,CAC 40,993.8553370786517,11.982092696629215
Canada,2019-01-15,0.0,0.0,1714.3,20.67,1.3272,3568.7512587365995,118.5098661616,15046.299805,S&P/TSX,1291.6666666666667,15.574141048824595
Italy,2019-01-15,0.0,0.0,1132.2,13.65,1.1392,3568.7512587365995,118.5098661616,19165.0,FTSE MIB,993.8553370786517,11.982092696629215
Japan,2019-01-15,0.0,0.0,140461.8,1690.22,108.72,3568.7512587365995,118.5098661616,20555.289063,Nikkei,1291.9591611479027,15.54654157468727
China,2019-01-15,0.0,0.0,8742.4,105.32,6.7595,3568.7512587365995,118.5098661616,2570.344971,SSE,1293.350099859457,15.581034100155335
India,2019-01-15,0.0,0.0,91921.8,1105.27,71.0,3568.7512587365995,118.5098661616,10886.799805,NSE,1294.6732394366197,15.56718309859155
United Kingdom,2019-01-15,0.0,0.0,1010.7,12.1143,1.2761,3568.7512587365995,118.5098661616,6895.02,FTSE 100,792.0225687642035,9.49322153436251
Brazil,2019-01-16,0.0,0.0,4801.9,58.26,3.7284,3593.7217397683003,121.9013891834,94393.0,BOVESPA,1287.9251153309729,15.626005793369808
United States,2019-01-16,0.0,0.0,1292.3,15.592,1.0,3593.7217397683003,121.9013891834,7034.689941,NASDAQ,1292.3,15.592
Germany,2019-01-16,0.0,0.0,1134.1,13.69,1.1408,3593.7217397683003,121.9013891834,10931.240234,DAX,994.1269284712481,12.000350631136044
France,2019-01-16,0.0,0.0,1134.1,13.69,1.1408,3593.7217397683003,121.9013891834,4810.740234000001,CAC 40,994.1269284712481,12.000350631136044
Canada,2019-01-16,0.0,0.0,1712.2,20.69,1.3243,3593.7217397683003,121.9013891834,15111.299805,S&P/TSX,1292.909461602356,15.623348183946236
Italy,2019-01-16,0.0,0.0,1134.1,13.69,1.1408,3593.7217397683003,121.9013891834,19478.0,FTSE MIB,994.1269284712481,12.000350631136044
Japan,2019-01-16,0.0,0.0,140660.4,1697.9,108.84,3593.7217397683003,121.9013891834,20442.75,Nikkei,1292.359426681367,15.599963248805587
China,2019-01-16,0.0,0.0,8728.1,105.35,6.7532,3593.7217397683003,121.9013891834,2570.4221190000007,SSE,1292.4391399632768,15.600011846235859
India,2019-01-16,0.0,0.0,92018.2,1105.95,70.97,3593.7217397683003,121.9013891834,10890.299805,NSE,1296.5788361279413,15.583345075383965
United Kingdom,2019-01-16,0.0,0.0,1004.9,12.1167,1.2862,3593.7217397683003,121.9013891834,6862.68,FTSE 100,781.2937334784637,9.420541128906857
Brazil,2019-01-17,0.0,0.0,4830.4,58.25,3.7561,3623.717336702,121.6874460073,95351.0,BOVESPA,1286.0147493410718,15.508106812917655
United States,2019-01-17,0.0,0.0,1290.7,15.523,1.0,3623.717336702,121.6874460073,7084.459961,NASDAQ,1290.7,15.523
Germany,2019-01-17,0.0,0.0,1134.2,13.63,1.1386,3623.717336702,121.6874460073,10918.620117,DAX,996.1356051291059,11.970841384155982
France,2019-01-17,0.0,0.0,1134.2,13.63,1.1386,3623.717336702,121.6874460073,4794.370117,CAC 40,996.1356051291059,11.970841384155982
Canada,2019-01-17,0.0,0.0,1715.7,20.62,1.3296,3623.717336702,121.6874460073,15211.200195,S&P/TSX,1290.3880866425993,15.508423586040916
Italy,2019-01-17,0.0,0.0,1134.2,13.63,1.1386,3623.717336702,121.6874460073,19470.0,FTSE MIB,996.1356051291059,11.970841384155982
Japan,2019-01-17,0.0,0.0,140712.1,1692.96,109.01,3623.717336702,121.6874460073,20402.269531,Nikkei,1290.818273552885,15.530318319420235
China,2019-01-17,0.0,0.0,8744.1,105.19,6.7735,3623.717336702,121.6874460073,2559.636963,SSE,1290.9278807115966,15.52963755813095
India,2019-01-17,0.0,0.0,91646.1,1100.55,71.09,3623.717336702,121.6874460073,10905.200195,NSE,1289.1559994373329,15.481080320720212
United Kingdom,2019-01-17,0.0,0.0,999.9,11.9571,1.294,3623.717336702,121.6874460073,6834.92,FTSE 100,772.7202472952087,9.240417310664606
Brazil,2019-01-18,0.0,0.0,4842.46,57.55,3.7658,3605.8551868777004,119.20011101719999,96097.0,BOVESPA,1285.9047214403315,15.2822773381486
United States,2019-01-18,0.0,0.0,1284.2,15.345,1.0,3605.8551868777004,119.20011101719999,7157.22998,NASDAQ,1284.2,15.345
Germany,2019-01-18,0.0,0.0,1129.8,13.5,1.1362,3605.8551868777004,119.20011101719999,11205.540039,DAX,994.3671888751979,11.881710966379158
France,2019-01-18,0.0,0.0,1129.8,13.5,1.1362,3605.8551868777004,119.20011101719999,4875.930176,CAC 40,994.3671888751979,11.881710966379158
Canada,2019-01-18,0.0,0.0,1701.5,20.35,1.3262,3605.8551868777004,119.20011101719999,15303.799805,S&P/TSX,1282.9889911023977,15.344593575629618
Italy,2019-01-18,0.0,0.0,1129.8,13.5,1.1362,3605.8551868777004,119.20011101719999,19708.0,FTSE MIB,994.3671888751979,11.881710966379158
Japan,2019-01-18,0.0,0.0,140831.8,1680.52,109.79,3605.8551868777004,119.20011101719999,20666.070313,Nikkei,1282.7379542763456,15.306676382184168
China,2019-01-18,0.0,0.0,8693.8,103.98,6.7765,3605.8551868777004,119.20011101719999,2596.006104,SSE,1282.933667822622,15.344204235224673
India,2019-01-18,0.0,0.0,91348.3,1090.85,71.21,3605.8551868777004,119.20011101719999,10906.950195,NSE,1282.8015728128073,15.31877545288583
United Kingdom,2019-01-18,0.0,0.0,995.0,11.9185,1.2898,3605.8551868777004,119.20011101719999,6968.33,FTSE 100,771.4374321600247,9.240579934873624
Brazil,2019-01-19,0.0,0.0,4807.62,57.55,3.7658,3690.9085636878003,123.57577330209999,96097.0,BOVESPA,1276.6530352116415,15.2822773381486
