"Date","Price","Open","High","Low","Change %"
"Jun 10, 2020","14.2191","13.7813","14.2683","13.7611","3.15%"
"Jun 09, 2020","13.7846","13.9787","14.0903","13.7649","-1.39%"
"Jun 08, 2020","13.9787","13.7253","14.0168","13.6556","1.57%"
"Jun 05, 2020","13.7624","14.0437","14.1507","13.5351","-2.09%"
"Jun 04, 2020","14.0566","14.0454","14.2486","13.9267","0.08%"
"Jun 03, 2020","14.0448","14.4103","14.4952","13.8801","-2.53%"
"Jun 02, 2020","14.4097","14.6428","14.7123","14.1641","-1.65%"
"Jun 01, 2020","14.6510","14.4785","14.8707","14.4633","1.25%"
"May 29, 2020","14.4703","14.1025","14.5725","14.0134","2.60%"
"May 28, 2020","14.1031","14.0854","14.2638","13.9964","0.05%"
"May 27, 2020","14.0956","13.8947","14.1837","13.7265","1.45%"
"May 26, 2020","13.8936","14.1510","14.3170","13.7851","-1.82%"
"May 25, 2020","14.1516","14.1309","14.1662","13.8652","0.01%"
"May 22, 2020","14.1496","13.9913","14.1809","13.6750","1.12%"
"May 21, 2020","13.9930","14.3424","14.3448","13.7937","-2.43%"
"May 20, 2020","14.3418","14.1777","14.4165","14.0853","1.26%"
"May 19, 2020","14.1639","13.9062","14.2706","13.8412","1.84%"
"May 18, 2020","13.9085","13.7722","14.4639","13.7460","1.16%"
"May 15, 2020","13.7494","12.9971","13.8079","12.8928","5.84%"
"May 14, 2020","12.9907","12.7340","13.0388","12.6334","2.01%"
"May 13, 2020","12.7346","12.6019","12.7971","12.4753","1.06%"
"May 12, 2020","12.6010","12.5567","12.6962","12.4683","0.32%"
"May 11, 2020","12.5603","12.4778","12.6530","12.3804","0.72%"
"May 08, 2020","12.4707","12.4277","12.6201","12.2924","0.34%"
"May 07, 2020","12.4282","12.0358","12.4844","12.0042","3.23%"
"May 06, 2020","12.0392","12.0377","12.2488","11.9482","0.00%"
"May 05, 2020","12.0386","11.8822","12.0914","11.8165","1.32%"
"May 04, 2020","11.8812","11.9729","12.1227","11.8215","-0.85%"
"May 01, 2020","11.9832","11.8938","12.0533","11.7326","0.71%"
"Apr 30, 2020","11.8986","12.2795","12.4649","11.7431","-3.09%"
"Apr 29, 2020","12.2785","12.2052","12.3580","12.1200","0.60%"
"Apr 28, 2020","12.2052","12.2305","12.3188","11.9796","-0.23%"
"Apr 27, 2020","12.2330","12.3373","12.3869","12.0965","-0.75%"
"Apr 24, 2020","12.3252","12.3740","12.4773","12.1760","-0.30%"
"Apr 23, 2020","12.3624","12.2552","12.4960","12.1390","0.88%"
"Apr 22, 2020","12.2548","12.0948","12.3284","11.9303","1.22%"
"Apr 21, 2020","12.1070","12.3221","12.3794","11.8217","-1.75%"
"Apr 20, 2020","12.3221","12.1566","12.3912","12.0568","1.46%"
"Apr 17, 2020","12.1451","12.4789","12.5663","12.0614","-2.64%"
"Apr 16, 2020","12.4749","12.3618","12.5103","12.2450","0.93%"
"Apr 15, 2020","12.3594","12.5040","12.5535","12.1810","-1.09%"
"Apr 14, 2020","12.4956","12.2942","12.5847","12.2443","1.62%"
"Apr 13, 2020","12.2967","12.3877","12.4626","12.1213","-0.81%"
"Apr 10, 2020","12.3972","12.3897","12.4563","12.3322","0.05%"
"Apr 09, 2020","12.3906","12.0893","12.4970","12.0323","2.42%"
"Apr 08, 2020","12.0974","12.1728","12.3294","11.9844","-0.68%"
"Apr 07, 2020","12.1802","12.2732","12.6876","12.0250","-0.77%"
"Apr 06, 2020","12.2746","11.7540","12.3474","11.6202","4.49%"
"Apr 03, 2020","11.7477","11.6743","11.8847","11.5681","0.61%"
"Apr 02, 2020","11.6762","11.2925","11.7495","11.2101","3.42%"
"Apr 01, 2020","11.2902","11.2565","11.4407","11.1524","0.30%"
"Mar 31, 2020","11.2565","11.3300","11.5450","11.1986","-0.62%"
"Mar 30, 2020","11.3263","11.6486","11.7386","11.1538","-2.66%"
"Mar 27, 2020","11.6355","11.8060","12.0341","11.5265","-1.43%"
"Mar 26, 2020","11.8046","12.1666","12.2534","11.7444","-3.03%"
"Mar 25, 2020","12.1728","12.1599","12.5159","11.7830","0.09%"
"Mar 24, 2020","12.1615","11.4993","12.2354","11.3448","5.77%"
"Mar 23, 2020","11.4979","10.8315","11.5567","10.5878","5.91%"
"Mar 20, 2020","10.8567","10.5515","11.0288","10.4733","2.90%"
"Mar 19, 2020","10.5511","10.3078","10.6937","10.1774","2.35%"
"Mar 18, 2020","10.3091","10.4754","10.6764","9.8853","-1.59%"
