"Date","Price","Open","High","Low","Change %"
"Apr 13, 2020","15.475","15.474","15.526","15.132","0.23%"
"Apr 10, 2020","15.440","15.440","15.470","15.410","-0.23%"
"Apr 09, 2020","15.475","14.974","15.575","14.907","2.48%"
"Apr 08, 2020","15.100","15.011","15.189","14.857","0.48%"
"Apr 07, 2020","15.028","15.020","15.507","14.840","0.15%"
"Apr 06, 2020","15.005","14.407","15.101","14.238","4.09%"
"Apr 03, 2020","14.415","14.495","14.588","14.262","-0.76%"
"Apr 02, 2020","14.525","13.948","14.565","13.895","3.57%"
"Apr 01, 2020","14.025","13.970","14.156","13.805","0.21%"
"Mar 31, 2020","13.995","14.057","14.258","13.852","-0.99%"
"Mar 30, 2020","14.135","14.535","14.595","13.810","-2.42%"
"Mar 27, 2020","14.485","14.405","14.661","14.179","0.56%"
"Mar 26, 2020","14.405","14.500","14.690","14.155","-0.35%"
"Mar 25, 2020","14.455","14.310","14.740","14.008","1.15%"
"Mar 24, 2020","14.290","13.280","14.365","13.173","7.65%"
"Mar 23, 2020","13.275","12.600","13.295","12.271","5.11%"
"Mar 20, 2020","12.630","12.097","13.028","11.995","4.08%"
"Mar 19, 2020","12.135","11.960","12.311","11.775","1.08%"
"Mar 18, 2020","12.005","12.610","12.905","11.640","-4.84%"
"Mar 17, 2020","12.615","12.845","13.255","12.119","-2.40%"
"Mar 16, 2020","12.925","15.094","15.121","11.792","-12.13%"
"Mar 13, 2020","14.710","15.837","15.880","14.440","-7.16%"
"Mar 12, 2020","15.845","16.750","16.941","15.512","-5.56%"
"Mar 11, 2020","16.778","16.897","17.127","16.670","-0.63%"
"Mar 10, 2020","16.885","16.990","17.215","16.800","-0.59%"
"Mar 09, 2020","16.985","17.335","17.532","16.555","-2.04%"
"Mar 06, 2020","17.338","17.430","17.589","17.049","-0.53%"
"Mar 05, 2020","17.430","17.208","17.470","17.140","1.31%"
"Mar 04, 2020","17.205","17.197","17.355","17.073","0.00%"
"Mar 03, 2020","17.205","16.748","17.478","16.715","2.71%"
"Mar 02, 2020","16.751","16.690","17.059","16.505","0.39%"
"Feb 28, 2020","16.687","17.724","17.878","16.385","-5.85%"
"Feb 27, 2020","17.722","17.908","18.146","17.625","-1.03%"
"Feb 26, 2020","17.907","18.005","18.226","17.784","-0.58%"
"Feb 25, 2020","18.011","18.642","18.675","17.879","-3.39%"
"Feb 24, 2020","18.642","18.490","18.963","18.485","0.84%"
"Feb 21, 2020","18.488","18.368","18.647","18.344","0.63%"
"Feb 20, 2020","18.371","18.423","18.463","18.214","-0.29%"
"Feb 19, 2020","18.425","18.169","18.470","18.142","1.40%"
"Feb 18, 2020","18.171","17.795","18.244","17.775","2.23%"
"Feb 17, 2020","17.775","17.750","17.918","17.693","0.17%"
"Feb 14, 2020","17.745","17.647","17.830","17.615","0.56%"
"Feb 13, 2020","17.646","17.484","17.753","17.470","0.93%"
"Feb 12, 2020","17.484","17.652","17.692","17.451","-0.94%"
"Feb 11, 2020","17.651","17.774","17.831","17.559","-0.70%"
"Feb 10, 2020","17.775","17.700","17.856","17.667","0.43%"
"Feb 07, 2020","17.698","17.828","17.879","17.629","-0.72%"
"Feb 06, 2020","17.827","17.615","17.903","17.596","1.21%"
"Feb 05, 2020","17.614","17.597","17.745","17.471","0.10%"
"Feb 04, 2020","17.597","17.675","17.803","17.510","-0.44%"
"Feb 03, 2020","17.675","18.050","18.110","17.580","-2.10%"
"Jan 31, 2020","18.054","17.841","18.111","17.783","1.18%"
"Jan 30, 2020","17.843","17.559","18.056","17.541","1.61%"
"Jan 29, 2020","17.560","17.454","17.605","17.374","0.61%"
"Jan 28, 2020","17.454","18.103","18.132","17.436","-3.59%"
"Jan 27, 2020","18.104","18.110","18.354","18.036","-0.02%"
"Jan 24, 2020","18.107","17.802","18.169","17.733","1.71%"
"Jan 23, 2020","17.803","17.837","17.924","17.599","-0.19%"
"Jan 22, 2020","17.836","17.791","17.947","17.669","0.25%"
"Jan 21, 2020","17.792","18.065","18.173","17.625","-1.65%"
"Jan 20, 2020","18.090","18.020","18.143","17.985","0.40%"
"Jan 17, 2020","18.018","17.951","18.190","17.892","0.37%"
"Jan 16, 2020","17.951","18.001","18.061","17.862","-0.28%"
"Jan 15, 2020","18.000","17.795","18.056","17.735","1.13%"
"Jan 14, 2020","17.799","17.974","17.984","17.667","-0.97%"
"Jan 13, 2020","17.974","18.100","18.130","17.910","-0.71%"
"Jan 10, 2020","18.102","17.909","18.174","17.825","1.08%"
"Jan 09, 2020","17.909","18.095","18.220","17.791","-1.02%"
"Jan 08, 2020","18.093","18.402","18.855","18.040","-1.65%"
"Jan 07, 2020","18.397","18.153","18.450","17.934","1.35%"
"Jan 06, 2020","18.152","18.040","18.520","18.001","0.60%"
"Jan 03, 2020","18.044","18.025","18.287","17.985","0.12%"
"Jan 02, 2020","18.023","17.865","18.121","17.774","0.94%"
"Jan 01, 2020","17.855","17.850","17.865","17.850","0.03%"
"Dec 31, 2019","17.850","17.925","18.170","17.805","-0.42%"
"Dec 30, 2019","17.926","17.760","17.990","17.760","0.91%"
"Dec 27, 2019","17.764","17.897","17.994","17.734","-0.74%"
"Dec 26, 2019","17.896","17.776","18.062","17.715","0.57%"
"Dec 24, 2019","17.795","17.433","17.808","17.371","2.08%"
"Dec 23, 2019","17.432","17.200","17.470","17.165","1.34%"
