"Symbol: ^XAGJPY",,,,,,"Study: VOL",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2019-06-10,1621.51,1623.54,1588.04,1591.71,-29.819999999999936,5845,
2019-06-11,1598.07,1602.38,1590.76,1597.3,5.589999999999918,6100,
2019-06-12,1597.25,1608.65,1596.39,1600.52,3.2200000000000273,5884,
2019-06-13,1601.04,1614.43,1596.03,1612.27,11.75,6021,
2019-06-14,1620.97,1633.67,1604.33,1610.33,-1.9400000000000546,5849,
2019-06-17,1610.38,1615.27,1602.45,1607.44,-2.8899999999998727,5702,
2019-06-18,1607.54,1630.22,1604.15,1624.49,17.049999999999955,5468,
2019-06-19,1624.19,1636.97,1614.95,1635.63,11.1400000000001,5443,
2019-06-20,1635.95,1662.51,1632.08,1651.96,16.329999999999927,5177,
2019-06-21,1651.64,1663.11,1629.23,1643.56,-8.400000000000091,5138,
2019-06-24,1645.59,1656.71,1642.39,1653.91,10.350000000000136,5434,
2019-06-25,1654.04,1660.5,1641.56,1643.86,-10.050000000000182,5050,
2019-06-26,1649.56,1650.5,1630.15,1643.42,-0.4399999999998272,4049,
2019-06-27,1643.4,1646.52,1632.14,1641.06,-2.3600000000001273,4043,
2019-06-28,1641.18,1650.43,1635.77,1650.43,9.370000000000118,4043,
2019-07-01,1655.53,1655.53,1638.36,1639.36,-11.070000000000164,4054,
2019-07-02,1645.37,1650.55,1627.58,1649.53,10.170000000000073,4200,
2019-07-03,1649.2,1659.99,1635.97,1647.34,-2.1900000000000546,3922,
2019-07-04,1649.77,1650.25,1639.04,1643.9,-3.439999999999827,3509,
2019-07-05,1643.92,1650.53,1616.82,1624.39,-19.50999999999999,4068,
2019-07-08,1625.97,1638.27,1621.9,1630.99,6.599999999999909,4334,
2019-07-09,1630.96,1643.48,1626.88,1642.03,11.039999999999964,4143,
2019-07-10,1642.13,1655.89,1635.87,1649.59,7.559999999999945,4165,
2019-07-11,1649.31,1654.77,1636.53,1637,-12.589999999999918,3958,
2019-07-12,1643.85,1643.85,1629.11,1639.62,2.619999999999891,4131,
2019-07-15,1639.61,1659.23,1634.24,1656.68,17.060000000000173,4197,
2019-07-16,1656.67,1695.59,1652.32,1680.34,23.659999999999854,4032,
2019-07-17,1680.53,1724.16,1678.07,1721.12,40.77999999999997,3950,
2019-07-18,1720.96,1750.15,1715.31,1749.34,28.220000000000027,3665,
2019-07-19,1749.41,1777.02,1734.93,1742.94,-6.399999999999864,3491,
2019-07-22,1747.27,1768.7,1743.04,1761.73,18.789999999999964,3722,
2019-07-23,1761.69,1782.34,1748.8,1771.5,9.769999999999982,3724,
2019-07-24,1771.32,1794.14,1766.56,1792.46,20.960000000000036,3836,
2019-07-25,1792.19,1795.03,1775.3,1779.72,-12.740000000000009,3675,
2019-07-26,1779.82,1789.07,1774.08,1777.6,-2.1200000000001182,3881,
2019-07-29,1777.7,1788.57,1774.06,1786.98,9.38000000000011,3940,
2019-07-30,1787.59,1798.57,1780.12,1796.66,9.680000000000064,3908,
2019-07-31,1795.85,1796.03,1764.98,1765.55,-31.110000000000127,3677,
2019-08-01,1765.57,1767.02,1731.5,1749.91,-15.639999999999873,3198,
2019-08-02,1749.78,1751.18,1717.22,1723.67,-26.24000000000001,3277,
2019-08-05,1723.73,1749.27,1708.39,1735.52,11.849999999999909,3054,
2019-08-06,1734.95,1750.96,1733.8,1747.33,11.809999999999945,3329,
2019-08-07,1747.37,1823.35,1746.74,1814.53,67.20000000000005,2920,
2019-08-08,1814.21,1820,1784.66,1792.62,-21.910000000000082,3220,
2019-08-09,1792.7,1811.22,1782.05,1789.79,-2.8299999999999272,3195,
2019-08-12,1789.7,1796.75,1771.95,1793.42,3.630000000000109,3523,
2019-08-13,1793.36,1836.18,1791.55,1807.55,14.129999999999882,3155,
2019-08-14,1807.56,1828.37,1793.44,1819.89,12.340000000000146,3087,
2019-08-15,1819.68,1835.84,1816.67,1828.31,8.419999999999845,3031,
2019-08-16,1828.4,1834.54,1813.71,1816.24,-12.069999999999936,3424,
2019-08-19,1816.46,1819.04,1795.08,1795.48,-20.75999999999999,3475,
2019-08-20,1797.47,1823.03,1795.38,1819.95,24.470000000000027,3681,
2019-08-21,1818.6,1826.18,1809.22,1822.5,2.5499999999999545,3763,
2019-08-22,1822.36,1824.1,1802.23,1810.97,-11.529999999999973,3873,
2019-08-23,1810.8,1839.53,1807.56,1833.28,22.309999999999945,3606,
2019-08-26,1834,1877.68,1834,1871.23,37.950000000000045,3215,
2019-08-27,1871.16,1922.28,1863.24,1921.1,49.86999999999989,3368,
2019-08-28,1920.87,1948.9,1914.22,1945.13,24.0300000000002,3320,
2019-08-29,1944.67,1973.89,1926.63,1940.54,-4.5900000000001455,3171,
2019-08-30,1940.7,1961.2,1928.68,1947.9,7.360000000000127,3222,
2019-09-02,1947.89,1966.02,1939.85,1956.96,9.059999999999945,2875,
2019-09-03,1957.01,2036.89,1947.81,2036.89,79.93000000000006,3147,
2019-09-04,2036.84,2082.96,2036.12,2080.42,43.52999999999997,2676,
2019-09-05,2079.98,2079.98,1990.7,1991.18,-89.24000000000001,2762,
2019-09-06,1991.05,1999.96,1925.83,1939.09,-52.090000000000146,2777,
2019-09-09,1938.73,1947.3,1921.83,1926.65,-12.439999999999827,2978,
2019-09-10,1926.27,1944.25,1908.76,1931.79,5.139999999999873,3064,
2019-09-11,1931.81,1960.61,1931.81,1950.08,18.289999999999964,3443,
2019-09-12,1950,1980.01,1944.58,1952.46,2.380000000000109,3081,
2019-09-13,1952.34,1960.46,1881.35,1881.96,-70.5,3127,
2019-09-16,1883.72,1933.8,1883.72,1928.48,46.51999999999998,3097,
2019-09-17,1928.35,1951.16,1920.03,1944.52,16.039999999999964,3263,
2019-09-18,1944.4,1948.26,1905.65,1920.01,-24.50999999999999,3247,
2019-09-19,1920.27,1930.19,1903.82,1917.99,-2.019999999999982,3247,
2019-09-20,1918.17,1934.03,1914.23,1929.19,11.200000000000045,3404,
2019-09-23,1929.3,2003.18,1929.3,2002.35,73.15999999999985,3007,
2019-09-24,2002.02,2011.6,1968.77,1989.52,-12.829999999999927,2867,
2019-09-25,1989.38,1997.96,1923.58,1926.68,-62.83999999999992,2984,
2019-09-26,1925.92,1939.06,1912.41,1918.52,-8.160000000000082,2977,
2019-09-27,1918.46,1923.51,1872.91,1889.19,-29.329999999999927,2975,
2019-09-30,1889.32,1894.03,1830.43,1834.62,-54.570000000000164,3058,
2019-10-01,1834.41,1860.39,1828.01,1854.65,20.0300000000002,3051,
2019-10-02,1854.49,1887.99,1851.53,1879.09,24.439999999999827,3100,
2019-10-03,1878.85,1893.7,1868.13,1873.56,-5.529999999999973,3104,
2019-10-04,1873.54,1881.16,1855.28,1872.7,-0.8599999999999,3333,
2019-10-07,1872.86,1876.8,1858.78,1866.62,-6.080000000000155,3503,
2019-10-08,1866.61,1898.41,1857.81,1895.42,28.800000000000182,3120,
2019-10-09,1895.4,1918.05,1890.5,1903.15,7.730000000000018,3258,
2019-10-10,1903.01,1916.55,1880.09,1886.25,-16.90000000000009,3104,
2019-10-11,1886.44,1911.39,1883.72,1898.68,12.430000000000064,2987,
2019-10-14,1898.63,1913.82,1888.92,1910.37,11.689999999999827,3465,
2019-10-15,1910.34,1915.79,1888.64,1892.62,-17.75,3387,
2019-10-16,1892.51,1893.74,1869.53,1888.8,-3.8199999999999363,3443,
2019-10-17,1888.73,1909.69,1880.34,1903.54,14.740000000000009,3335,
2019-10-18,1903.4,1906.16,1890.77,1899.08,-4.460000000000036,3506,
2019-10-21,1899.24,1931.56,1897.93,1904.18,5.100000000000136,3535,
2019-10-22,1904.08,1915.36,1891.63,1897.57,-6.610000000000127,3426,
2019-10-23,1897.48,1907.44,1894.47,1903.6,6.029999999999973,3711,
2019-10-24,1903.66,1933.96,1897.88,1930.31,26.710000000000036,3649,
2019-10-25,1930.18,1984.23,1930.18,1957.38,27.070000000000164,3306,
2019-10-28,1960.6,1967.99,1938.71,1942.12,-15.260000000000218,3431,
2019-10-29,1942,1943.29,1919.03,1936.07,-6.0499999999999545,3436,
2019-10-30,1935.99,1949.53,1922.81,1941.2,5.130000000000109,3429,
2019-10-31,1941.14,1958.46,1937.35,1952.77,11.569999999999936,3288,
2019-11-01,1952.74,1956.63,1943.14,1956.58,3.8099999999999454,3552,
2019-11-04,1956.63,1968.86,1949.81,1957.14,0.5600000000001728,3548,
2019-11-05,1957.09,1963.6,1913.04,1916,-41.1400000000001,3382,
2019-11-06,1915.81,1918.96,1896.93,1918.16,2.160000000000082,3578,
2019-11-07,1918.13,1918.13,1859.71,1867.73,-50.430000000000064,3313,
2019-11-08,1867.62,1867.74,1829.3,1832.91,-34.819999999999936,3283,
2019-11-11,1833.04,1842.15,1821.67,1835.43,2.519999999999982,3618,
2019-11-12,1835.17,1840.52,1819.78,1825.32,-10.110000000000127,3536,
2019-11-13,1825.13,1848.48,1825.09,1843.1,17.779999999999973,3490,
2019-11-14,1843.06,1853.76,1835.84,1842.19,-0.9099999999998545,3554,
2019-11-15,1842.15,1846.64,1826.38,1842.29,0.09999999999990905,3697,
2019-11-18,1842.33,1849.11,1826.52,1848.21,5.920000000000073,3736,
2019-11-19,1848.27,1861.77,1844.34,1857.72,9.509999999999991,3611,
2019-11-20,1857.69,1861.2,1850.18,1858.65,0.9300000000000637,3604,
2019-11-21,1858.59,1861.67,1849.48,1854.41,-4.240000000000009,3654,
2019-11-22,1856.26,1865.45,1842.89,1844.13,-10.279999999999973,3677,
2019-11-25,1843.85,1845.1,1833.35,1837.2,-6.930000000000064,3679,
2019-11-26,1836.75,1862.61,1833.11,1859.36,22.159999999999854,3895,
2019-11-27,1859.35,1861.34,1848.25,1853.55,-5.809999999999945,3883,
2019-11-28,1853.58,1858.35,1850.25,1853.12,-0.43000000000006366,3329,
2019-11-29,1852.9,1861.35,1846.9,1859.39,6.270000000000209,3852,
2019-12-02,1859.3,1859.66,1838.02,1839.38,-20.00999999999999,3688,
2019-12-03,1839.33,1863.82,1839.33,1862.12,22.73999999999978,3670,
2019-12-04,1862.1,1871.93,1827.3,1831.29,-30.829999999999927,3547,
2019-12-05,1831.27,1845.33,1830.78,1841.85,10.559999999999945,3768,
2019-12-06,1841.75,1842.15,1794.79,1796.91,-44.93999999999983,3845,
2019-12-09,1796.92,1804.49,1793.82,1799.95,3.0399999999999636,3981,
2019-12-10,1799.76,1810.86,1798.72,1808.94,8.990000000000009,3932,
2019-12-11,1808.95,1833.51,1803.38,1827.13,18.190000000000055,3838,
2019-12-12,1827.11,1851.32,1825,1847.95,20.819999999999936,3460,
2019-12-13,1847.65,1858.96,1842.6,1849.82,1.8699999999998909,3477,
2019-12-16,1849.97,1866.76,1846.63,1864.11,14.289999999999964,3888,
2019-12-17,1864.05,1870.48,1857.17,1859.1,-5.009999999999991,3915,
2019-12-18,1859.09,1864.92,1848.99,1861.27,2.1700000000000728,4011,
2019-12-19,1861.23,1866.91,1849.4,1862.92,1.650000000000091,4009,
2019-12-20,1862.81,1883.09,1859.51,1879.64,16.720000000000027,3899,
2019-12-23,1879.6,1904.77,1878.18,1903.98,24.339999999999918,3849,
2019-12-24,1905.35,1940.2,1899.44,1939.86,35.87999999999988,3520,
2019-12-26,1939.8,1974.62,1937.57,1959.71,19.850000000000136,3452,
2019-12-27,1959.31,1963.93,1940.56,1941.96,-17.75,3481,
2019-12-30,1942.05,1956.8,1941.65,1949.15,7.190000000000055,3602,
2019-12-31,1946.64,1968.54,1936.95,1936.95,-12.200000000000045,3484,
2020-01-02,1937.15,1962.49,1933.91,1953.13,16.180000000000064,3566,
2020-01-03,1953.03,1967.06,1942.56,1947.63,-5.5,3309,
2020-01-06,1948.39,1991.99,1948.39,1964.11,16.47999999999979,3254,
2020-01-07,1962.41,1995.61,1947.47,1992.26,28.15000000000009,3290,
2020-01-08,1990.73,2017.33,1969.09,1971.58,-20.680000000000064,2688,
2020-01-09,1971.45,1984.46,1948.5,1957.4,-14.179999999999836,3168,
2020-01-10,1957.22,1983.17,1952.65,1979.72,22.319999999999936,3522,
2020-01-13,1979.38,1979.38,1966.74,1972.19,-7.529999999999973,3684,
2020-01-14,1972.16,1972.16,1945.76,1954.6,-17.590000000000146,3558,
2020-01-15,1950.24,1977.07,1949.73,1974.94,20.340000000000146,3493,
2020-01-16,1970.35,1980.19,1962.91,1973.73,-1.2100000000000364,3502,
2020-01-17,1973.65,1993.9,1972.68,1982.44,8.710000000000036,3611,
2020-01-20,1982.55,1993.09,1980.95,1987.43,4.990000000000009,3164,
2020-01-21,1982.43,1992.51,1943.02,1951.09,-36.340000000000146,3404,
2020-01-22,1950.99,1964.77,1943.35,1956.15,5.060000000000173,3633,
2020-01-23,1951.9,1960.77,1930.6,1945.25,-10.900000000000091,3450,
